date and time,water depth (points) (m)
1905-08-19 00:00:00,        8.92848
1905-08-19 01:00:00,        8.94398
1905-08-19 02:00:00,        8.98993
1905-08-19 03:00:00,         9.0451
1905-08-19 04:00:00,         9.0768
1905-08-19 05:00:00,        9.10762
1905-08-19 06:00:00,        9.13389
1905-08-19 07:00:00,        8.75544
1905-08-19 08:00:00,        8.81329
1905-08-19 09:00:00,         9.6967
1905-08-19 10:00:00,        9.73967
1905-08-19 11:00:00,        8.87439
1905-08-19 12:00:00,        8.76862
1905-08-19 13:00:00,        8.71148
1905-08-19 14:00:00,        9.02062
1905-08-19 15:00:00,        8.63573
1905-08-19 16:00:00,        9.00659
1905-08-19 17:00:00,        9.43644
1905-08-19 18:00:00,        9.86853
1905-08-19 19:00:00,        10.1128
1905-08-19 20:00:00,        10.1627
1905-08-19 21:00:00,        9.97153
1905-08-19 22:00:00,        9.46464
1905-08-19 23:00:00,        9.00776
1905-08-20 00:00:00,        8.50485
1905-08-20 01:00:00,        8.16701
1905-08-20 02:00:00,        7.89393
1905-08-20 03:00:00,        7.72723
1905-08-20 04:00:00,        8.66351
1905-08-20 05:00:00,        9.44473
1905-08-20 06:00:00,         10.104
1905-08-20 07:00:00,        10.4118
1905-08-20 08:00:00,        10.2876
1905-08-20 09:00:00,        10.0288
1905-08-20 10:00:00,        9.49728
1905-08-20 11:00:00,        8.78777
1905-08-20 12:00:00,        8.43578
1905-08-20 13:00:00,        8.20137
1905-08-20 14:00:00,        7.93569
1905-08-20 15:00:00,        8.06169
1905-08-20 16:00:00,         8.8609
1905-08-20 17:00:00,        9.62736
1905-08-20 18:00:00,         10.203
1905-08-20 19:00:00,        10.5355
1905-08-20 20:00:00,        10.4538
1905-08-20 21:00:00,        10.2077
1905-08-20 22:00:00,        9.56318
1905-08-20 23:00:00,        8.92411
1905-08-21 00:00:00,        8.58039
1905-08-21 01:00:00,        8.23814
1905-08-21 02:00:00,        7.87502
1905-08-21 03:00:00,        7.77726
1905-08-21 04:00:00,        8.30035
1905-08-21 05:00:00,        9.11771
1905-08-21 06:00:00,        9.80673
1905-08-21 07:00:00,        10.2507
1905-08-21 08:00:00,        10.3506
1905-08-21 09:00:00,        10.2158
1905-08-21 10:00:00,        9.83239
1905-08-21 11:00:00,        9.20772
1905-08-21 12:00:00,        8.75559
1905-08-21 13:00:00,        8.50776
1905-08-21 14:00:00,        8.20365
1905-08-21 15:00:00,         8.0181
1905-08-21 16:00:00,        8.34456
1905-08-21 17:00:00,        9.08767
1905-08-21 18:00:00,        9.76096
1905-08-21 19:00:00,        10.2047
1905-08-21 20:00:00,        10.3555
1905-08-21 21:00:00,        10.1992
1905-08-21 22:00:00,        9.84932
1905-08-21 23:00:00,        9.23038
1905-08-22 00:00:00,        8.74387
1905-08-22 01:00:00,        8.47289
1905-08-22 02:00:00,        8.13529
1905-08-22 03:00:00,        7.85822
1905-08-22 04:00:00,        7.97031
1905-08-22 05:00:00,        8.64707
1905-08-22 06:00:00,        9.36105
1905-08-22 07:00:00,        9.91116
1905-08-22 08:00:00,        10.2326
1905-08-22 09:00:00,        10.2143
1905-08-22 10:00:00,        10.0545
1905-08-22 11:00:00,        9.58042
1905-08-22 12:00:00,        9.03975
1905-08-22 13:00:00,        8.72824
1905-08-22 14:00:00,        8.49439
1905-08-22 15:00:00,        8.23544
1905-08-22 16:00:00,         8.2187
1905-08-22 17:00:00,        8.67559
1905-08-22 18:00:00,        9.27837
1905-08-22 19:00:00,        9.77422
1905-08-22 20:00:00,          10.08
1905-08-22 21:00:00,        10.0668
1905-08-22 22:00:00,         9.8812
1905-08-22 23:00:00,        9.45981
1905-08-23 00:00:00,        8.94784
1905-08-23 01:00:00,        8.61275
1905-08-23 02:00:00,        8.36562
1905-08-23 03:00:00,        8.07901
1905-08-23 04:00:00,        7.96603
1905-08-23 05:00:00,        8.26756
1905-08-23 06:00:00,        8.88164
1905-08-23 07:00:00,        9.47122
1905-08-23 08:00:00,         9.9172
1905-08-23 09:00:00,         10.118
1905-08-23 10:00:00,        10.1106
1905-08-23 11:00:00,        9.89642
1905-08-23 12:00:00,        9.44649
1905-08-23 13:00:00,         9.0311
1905-08-23 14:00:00,        8.78511
1905-08-23 15:00:00,        8.54898
1905-08-23 16:00:00,        8.34322
1905-08-23 17:00:00,        8.39044
1905-08-23 18:00:00,         8.7614
1905-08-23 19:00:00,        9.22666
1905-08-23 20:00:00,        9.60523
1905-08-23 21:00:00,        9.82021
1905-08-23 22:00:00,        9.78812
1905-08-23 23:00:00,         9.5997
1905-08-24 00:00:00,        9.24234
1905-08-24 01:00:00,        8.84734
1905-08-24 02:00:00,        8.57919
1905-08-24 03:00:00,        8.36859
1905-08-24 04:00:00,        8.16707
1905-08-24 05:00:00,        8.14133
1905-08-24 06:00:00,        8.42472
1905-08-24 07:00:00,        8.91493
1905-08-24 08:00:00,        9.41167
1905-08-24 09:00:00,        9.80587
1905-08-24 10:00:00,        10.0085
1905-08-24 11:00:00,        10.0443
1905-08-24 12:00:00,        9.87105
1905-08-24 13:00:00,        9.51677
1905-08-24 14:00:00,         9.1732
1905-08-24 15:00:00,        8.91492
1905-08-24 16:00:00,        8.67117
1905-08-24 17:00:00,        8.45103
1905-08-24 18:00:00,        8.40715
1905-08-24 19:00:00,        8.58816
1905-08-24 20:00:00,         8.9367
1905-08-24 21:00:00,        9.27659
1905-08-24 22:00:00,        9.52027
1905-08-24 23:00:00,        9.57725
1905-08-25 00:00:00,         9.4716
1905-08-25 01:00:00,        9.24671
1905-08-25 02:00:00,        8.93548
1905-08-25 03:00:00,        8.65782
1905-08-25 04:00:00,        8.47759
1905-08-25 05:00:00,        8.32801
1905-08-25 06:00:00,        8.26025
1905-08-25 07:00:00,        8.38648
1905-08-25 08:00:00,        8.74311
1905-08-25 09:00:00,        9.20269
1905-08-25 10:00:00,        9.64491
