NO,date and time,water depth (points) (m)
1,8/19/05 0:00,2.373
2,8/19/05 1:00,2.38101903
3,8/19/05 2:00,2.4074718
4,8/19/05 3:00,2.4377654
5,8/19/05 4:00,2.4554769
6,8/19/05 5:00,2.4673613
7,8/19/05 6:00,2.476835
8,8/19/05 7:00,2.109327
9,8/19/05 8:00,1.915636
10,8/19/05 9:00,2.953566
11,8/19/05 10:00,2.969654
12,8/19/05 11:00,2.140587
13,8/19/05 12:00,2.191431
14,8/19/05 13:00,1.983903
15,8/19/05 14:00,2.4112766
16,8/19/05 15:00,2.042855
17,8/19/05 16:00,2.3948297
18,8/19/05 17:00,2.843611
19,8/19/05 18:00,3.239329
20,8/19/05 19:00,3.46988
21,8/19/05 20:00,3.51119
22,8/19/05 21:00,3.311146
23,8/19/05 22:00,2.791686
24,8/19/05 23:00,2.3640852
25,8/20/05 0:00,1.859738
26,8/20/05 1:00,1.50477
27,8/20/05 2:00,1.23415
28,8/20/05 3:00,1.06607
29,8/20/05 4:00,2.00384
30,8/20/05 5:00,2.802597
31,8/20/05 6:00,3.48673
32,8/20/05 7:00,3.77663
33,8/20/05 8:00,3.65497
34,8/20/05 9:00,3.38701
35,8/20/05 10:00,2.872803
36,8/20/05 11:00,2.151927
37,8/20/05 12:00,1.787378
38,8/20/05 13:00,1.560701
39,8/20/05 14:00,1.28671
40,8/20/05 15:00,1.386306
41,8/20/05 16:00,2.20357
42,8/20/05 17:00,2.982861
43,8/20/05 18:00,3.57385
44,8/20/05 19:00,3.91307
45,8/20/05 20:00,3.83163
46,8/20/05 21:00,3.59213
47,8/20/05 22:00,2.956757
48,8/20/05 23:00,2.2976515
49,8/21/05 0:00,1.947016
50,8/21/05 1:00,1.612571
51,8/21/05 2:00,1.2388
52,8/21/05 3:00,1.11413
53,8/21/05 4:00,1.635478
54,8/21/05 5:00,2.4696247
55,8/21/05 6:00,3.180522
56,8/21/05 7:00,3.63411
57,8/21/05 8:00,3.75042
58,8/21/05 9:00,3.60956
59,8/21/05 10:00,3.230705
