Year,Mon,Day,daily_acc_10thmm
1874,8,20,10
1874,8,21,0
1874,8,22,0
1874,8,23,262
1874,8,24,0
1874,8,25,2
1874,8,26,0
1874,8,27,0
1874,8,28,44
1874,8,29,95
1874,8,30,0
1874,8,31,0
1875,8,20,0
1875,8,21,0
1875,8,22,10
1875,8,23,4
1875,8,24,0
1875,8,25,0
1875,8,26,21
1875,8,27,4
1875,8,28,268
1875,8,29,51
1875,8,30,13
1875,8,31,776
1876,8,20,0
1876,8,21,0
1876,8,22,0
1876,8,23,0
1876,8,24,0
1876,8,25,0
1876,8,26,28
1876,8,27,0
1876,8,28,0
1876,8,29,0
1876,8,30,0
1876,8,31,0
1877,8,20,256
1877,8,21,383
1877,8,22,23
1877,8,23,0
1877,8,24,0
1877,8,25,0
1877,8,26,0
1877,8,27,0
1877,8,28,0
1877,8,29,0
1877,8,30,0
1877,8,31,0
1878,8,20,12
1878,8,21,4
1878,8,22,0
1878,8,23,124
1878,8,24,0
1878,8,25,198
1878,8,26,36
1878,8,27,5
1878,8,28,166
1878,8,29,0
1878,8,30,0
1878,8,31,3
1879,8,20,370
1879,8,21,3
1879,8,22,3
1879,8,23,0
1879,8,24,0
1879,8,25,0
1879,8,26,0
1879,8,27,237
1879,8,28,0
1879,8,29,0
1879,8,30,0
1879,8,31,0
1880,8,20,0
1880,8,21,0
1880,8,22,0
1880,8,23,0
1880,8,24,0
1880,8,25,0
1880,8,26,306
1880,8,27,0
1880,8,28,89
1880,8,29,386
1880,8,30,56
1880,8,31,107
1881,8,20,0
1881,8,21,0
1881,8,22,0
1881,8,23,0
1881,8,24,0
1881,8,25,0
1881,8,26,11
1881,8,27,71
1881,8,28,1718
1881,8,29,618
1881,8,30,0
1881,8,31,0
1882,8,20,0
1882,8,21,0
1882,8,22,157
1882,8,23,2
1882,8,24,0
1882,8,25,0
1882,8,26,0
1882,8,27,280
1882,8,28,21
1882,8,29,762
1882,8,30,2
1882,8,31,0
1883,8,20,0
1883,8,21,2
1883,8,22,0
1883,8,23,460
1883,8,24,547
1883,8,25,0
1883,8,26,0
1883,8,27,0
1883,8,28,0
1883,8,29,0
1883,8,30,0
1883,8,31,0
1884,8,20,45
1884,8,21,0
1884,8,22,5
1884,8,23,117
1884,8,24,0
1884,8,25,1
1884,8,26,0
1884,8,27,0
1884,8,28,0
1884,8,29,40
1884,8,30,93
1884,8,31,29
1885,8,20,0
1885,8,21,0
1885,8,22,0
1885,8,23,0
1885,8,24,0
1885,8,25,0
1885,8,26,0
1885,8,27,0
1885,8,28,0
1885,8,29,0
1885,8,30,1
1885,8,31,0
1886,8,20,240
1886,8,21,0
1886,8,22,0
1886,8,23,0
1886,8,24,0
1886,8,25,2
1886,8,26,7
1886,8,27,4
1886,8,28,0
1886,8,29,139
1886,8,30,0
1886,8,31,0
1887,8,20,0
1887,8,21,0
1887,8,22,0
1887,8,23,0
1887,8,24,0
1887,8,25,0
1887,8,26,0
1887,8,27,0
1887,8,28,2
1887,8,29,0
1887,8,30,0
1887,8,31,453
1888,8,20,0
1888,8,21,0
1888,8,22,82
1888,8,23,30
1888,8,24,2
1888,8,25,0
1888,8,26,8
1888,8,27,0
1888,8,28,0
1888,8,29,0
1888,8,30,0
1888,8,31,25
1889,8,20,44
1889,8,21,0
1889,8,22,0
1889,8,23,253
1889,8,24,1204
1889,8,25,1
1889,8,26,30
1889,8,27,0
1889,8,28,0
1889,8,29,0
1889,8,30,0
1889,8,31,0
1890,8,20,26
1890,8,21,0
1890,8,22,0
1890,8,23,106
1890,8,24,1
1890,8,25,0
1890,8,26,0
1890,8,27,0
1890,8,28,14
1890,8,29,183
1890,8,30,11
1890,8,31,0
1891,8,20,68
1891,8,21,107
1891,8,22,372
1891,8,23,164
1891,8,24,55
1891,8,25,0
1891,8,26,0
1891,8,27,475
1891,8,28,5
1891,8,29,0
1891,8,30,1300
1891,8,31,676
1892,8,20,0
1892,8,21,0
1892,8,22,0
1892,8,23,0
1892,8,24,0
1892,8,25,9
1892,8,26,10
1892,8,27,11
1892,8,28,0
1892,8,29,0
1892,8,30,0
1892,8,31,0
1893,8,20,148
1893,8,21,195
1893,8,22,181
1893,8,23,0
1893,8,24,0
1893,8,25,0
1893,8,26,0
1893,8,27,0
1893,8,28,0
1893,8,29,0
1893,8,30,0
1893,8,31,336
1894,8,20,0
1894,8,21,0
1894,8,22,0
1894,8,23,0
1894,8,24,0
1894,8,25,192
1894,8,26,0
1894,8,27,0
1894,8,28,25
1894,8,29,0
1894,8,30,523
1894,8,31,0
1895,8,20,0
1895,8,21,0
1895,8,22,0
1895,8,23,0
1895,8,24,7
1895,8,25,0
1895,8,26,0
1895,8,27,0
1895,8,28,1132
1895,8,29,296
1895,8,30,52
1895,8,31,113
1896,8,20,0
1896,8,21,2
1896,8,22,1
1896,8,23,76
1896,8,24,0
1896,8,25,0
1896,8,26,0
1896,8,27,1
1896,8,28,16
1896,8,29,27
1896,8,30,0
1896,8,31,0
1897,8,20,0
1897,8,21,0
1897,8,22,0
1897,8,23,0
1897,8,24,0
1897,8,25,0
1897,8,26,46
1897,8,27,1086
1897,8,28,60
1897,8,29,75
